,PropertyName,LocationAdvantages,Link
10,Signature Global City 79B,"{'Naurangpur Cricket Stadium': '850 Meter', 'Naurangpur Road': '1.4 KM', 'National Highway  48': '5.7 KM', 'Vatika Town Square-INXT': '6.4 KM', 'Ompee International School': '7.9 KM', 'Manesar Bus Stand': '8.1 KM', 'Yashlok Medical Centre': '8.3 KM', 'Euro International School': '9 KM', 'Sushant University': '19.7 KM', 'Indira Gandhi Intl Airport': '32.1 KM'}",https://www.99acres.com/signature-global-city-79b-sector-79-gurgaon-npxid-r404401
11,DLF The Arbour,"{'WorldMark Gurgaon': '1.5 KM', 'Capital Cyberscape': '3.1 KM', 'The Shriram Millennium School': '3 KM', 'DoubleTree by Hilton Hotel': '5.2 KM', 'Sector 55-56 Metro Station': '5.3 KM', 'Park Hospital': '5.8 KM', 'Sushant University': '6.9 KM', 'De Adventure Park': '5.9 KM', 'Badshahpur Sohna Hwy': '8.7 KM', 'Tau DeviLal Sports Complex': '9.6 KM', 'Gurgaon Railway Station': '15.6 KM', 'IGI Airport': '22.7 KM'}",https://www.99acres.com/dlf-the-arbour-sector-63-gurgaon-npxid-r404070
12,M3M Antalya Hills,"{'Nakhrola Stadium': '6 Km', 'Delhi - Jaipur Expressway': '4.4 Km', 'Miracles Apollo Cradle Hospital': '5.7 Km', 'Vatika Town Square-INXT Mall': '5.8 Km', 'Savoy Suites': '6.4 Km', 'Bal Bharati Public School': '6.8 Km', 'Vatika Business Centre': '12.9 Km', 'Gurugram University': '16.1 Km', 'Golden Greens Golf & Resorts Limited': '11.6 Km', 'Garhi Harsaru Junction': '12 Km', 'De Adventure Park': '11.3 Km', 'Indira Gandhi Int. Airport': '31.4 Km'}",https://www.99acres.com/m3m-antalya-hills-sector-79-gurgaon-npxid-r402610
13,Signature Global City 81,"{""St. Xavier's High School"": '0.9 Km', 'Miracles Apollo Cradle': '1.6 Km', 'Ambience Mall New': '2.3 Km', 'Nakhrola Stadium': '2.3 Km', 'Dwarka Expressway': '4.3 Km', 'NH8': '4.5 Km', 'Hyatt Regency Gurgaon': '5.6 Km'}",https://www.99acres.com/signature-global-city-81-sector-81-gurgaon-npxid-r380265
14,SS Linden Floors,"{'Delhi Public School': '650 Meters', 'Elan Miracle Mall': '1.5 Km', 'Dwarka Expressway': '1.7 Km', 'Holiday Inn Gurugram Sector 90': '2.7 Km', 'Miracles Apollo Cradle Spectra Hospital': '2.9 Km', 'Agri Business Management Collage': '4.4 Km', 'Delhi Jaipur Expressway': '5.5 Km', 'Gurgaon Railway Station': '13.9 Km', 'Indira Gandhi International Airport': '27.7 Km'}",https://www.99acres.com/ss-linden-floors-sector-84-gurgaon-npxid-r383068
15,Mahindra Luminare,"{'Grand Hyatt Gurgaon': '1.7 Km', 'Duke Horse Riding Club': '2.1 Km', 'PVR Drive In Cinema': '2.2 Km', 'W Pratiksha Hospital': '2.6 Km', 'Sector 55-56 Metro Station': '2.7 Km', 'Metro World Mall': '3.7 Km', 'Unicosmos School': '3.9 Km', 'Sushant University': '4.4 Km', 'Faridabad Gurgaon Road': '4.9 Km', 'Sohna Road': '6.5 Km', 'Bestech Business Tower': '8.3 Km', 'Appu Ghar': '9.2 Km', 'SkyJumper Trampoline Park': '10 Km', 'Indira Gandhi International Airport': '20.6 Km', 'Axis Bank': '400 m'}",https://www.99acres.com/mahindra-luminare-sector-59-gurgaon-npxid-r62235
16,M3M Golf Hills,"{'NH8': '5 Min', 'KMP Expressway': '10 Min', 'Dwarka Expressway': '15 Min', 'Karma Lakelands': '5 Min', 'Jungle Safari & Trails': '15 Min', 'DPS Manesar': '15 Min', 'Medanta Hospital': '15 Min'}",https://www.99acres.com/m3m-golf-hills-sector-79-gurgaon-npxid-r405181
17,Suncity Vatsal Valley,"{'Faridabad - Gurgaon Road': '170 Meter', ""Lingaya's Lalita Devi Institute"": '1.6 KM', 'ASF Insignia SEZ': '3.2 KM', 'Unicosmos School': '5.7 KM', 'Banjara Market Gurugram': '5.9 KM', 'Sushant University': '6.5 KM', 'Sector 55-56 Metro Station': '6.6 KM', 'Central Plaza Mall': '8.9 KM', 'Paras Hospitals, Gurgaon': '8.9 KM', 'Badshahpur Sohna Rd Hwy': '15.3 KM', 'Gurgaon Railway Station': '19.5 KM', 'Indira Gandhi Intl Airport': '21.3 KM'}",https://www.99acres.com/suncity-vatsal-valley-gwal-pahari-gurgaon-npxid-r383788
18,Whiteland Blissville,"{'Vega School': '650 m', 'Indian School of Hospitality': '3.6 Km', 'Vatika City Centre': '3.5 Km', 'Aatish Hospital': '2.1 Km', 'Hyatt Regency Gurgaon': '3.6 Km', 'NH 48': '1.9 Km', 'Info Technology Park Phase 2': '7.7 Km', 'Huda Metro Station': '16 Km', 'Garhi Harsaru Junction': '11 Km', 'IGI Airport': '27.9 Km', 'Southern Peripheral Rd': '4.9 Km'}",https://www.99acres.com/whiteland-blissville-sector-76-gurgaon-npxid-r396984
19,Trump Tower,"{'WorldMark Gurgaon': '300 M', 'Global Ways School': '3.5 Km', 'Park Hospital': '4.4 Km', 'Gurugram University': '5.2 Km', 'Radisson Hotel': '5.3 Km', 'NH 248A': '6.3 Km', 'Sector 55/56 Metro Station': '6.5 Km', 'Garhi Harsaru Junction': '17.8 Km', 'Indira Gandhi International Airport': '25.2 Km'}",https://www.99acres.com/trump-tower-sector-65-gurgaon-npxid-r296597
20,Tulip Monsella,"{'Mavens Inn': '350 M', 'Sanar International Hospital': '500 M', 'Central Plaza Mall': '1 Km', 'Sector 53-54 Metro Station': '1.3 Km', 'IILM University, Gurugram': '1.6 Km', 'The Banyan Tree World School': '2 Km', 'The Big Tree Cafe': '2.7 Km', 'DLF Golf and Country Club': '4.6 Km', 'DoubleTree by Hilton Hotel': '1.6 Km'}",https://www.99acres.com/tulip-monsella-sector-53-gurgaon-npxid-r390137
21,Krisumi Waterfall Residences,"{'Dwarka Expy': '6 KM', 'Delhi Public School, Sector 84': '3.1 KM', 'Elan Miracle Mall': '6 KM', 'Aarvy Hospital': '8.8 KM', 'Holiday Inn Gurugram Sector 90': '9.1 KM', 'DPG Degree College': '7.6 KM', 'Garhi Harsaru Junction': '11.7 KM', 'Tau DeviLal Sports Complex': '9.7 KM', 'DLF Corporate Greens': '10.3 KM', 'Indira Gandhi International Airport': '25.3 KM', 'NH 48': '3.1 KM'}",https://www.99acres.com/krisumi-waterfall-residences-sector-36a-gurgaon-npxid-r331957
22,PropertyName,LocationAdvantages,Link
23,M3M Capital,"{'Dwarka Expy': '10 m', 'Shivani public school': '1.8 Km', 'Baghera University': '2.7 Km', 'Kutumbh Hospital': '1 Km', 'Bijwasan Railway Station': '4.5 Km', 'Global Foyer Mall': '4.2 Km', 'Phase 2 Metro Station': '11.5 Km', 'IGI Airport': '16.5 Km'}",https://www.99acres.com/m3m-capital-sector-113-gurgaon-npxid-r385121
24,Godrej Meridien,"{'Dwarka Expressway': '1.8 Km', 'Euro International School, Sector- 109': '2.1 Km', 'Gurgaon Railway Station': '1.6 Km', 'Gurgaon Dreamz Mall': '3.8 Km', 'Metro Hospital, Palam Vihar': '4.8 Km', 'Delhi Ajmer Expressway': '9 Km', 'Infinity Business Park': '8.7 Km', 'The NorthCap University': '7.1 Km', 'Huda metro station': '10.6 km'}",https://www.99acres.com/godrej-meridien-sector-106-gurgaon-npxid-r306651
25,La Vida by Tata Housing,"{'Bajghera Road': '550 Meter', ""Rion's Hospital"": '3.1 KM', 'Dwarka Expy': '3.8 KM', 'Bijwasan Railway Station': '4.5 KM', 'Euro International School, Sector- 109.': '6.1 KM', 'The NorthCap University': '6.7 KM', 'Dwarka Sector 21': '7.4 KM', 'Pacific D21 Mall': '7.5 KM', 'Indira Gandhi Intl Airport': '15.6 KM'}",https://www.99acres.com/la-vida-by-tata-housing-sector-113-gurgaon-npxid-r265503
26,Birla Navya,"{'Capital Cyberscape': '900 Meter', 'Golf Course Ext Road': '2.2 KM', 'Heritage Xperiential Learning, CRPF Rd': '2.3 KM', 'W Pratiksha Hospital': '3 KM', 'DoubleTree by Hilton Hotel': '3 KM', 'WorldMark Gurgaon': '3.6 KM', 'Sector 54 Chowk Metro Station': '4.1 KM', 'Sushant University': '4.6 KM', 'Badshahpur Sohna Rd Hwy': '10.3 KM', 'Gurgaon - Delhi Expy': '14.1 KM', 'Gurgaon Railway Station': '17.2 KM', 'Indira Gandhi Intl Airport': '20.4 KM'}",https://www.99acres.com/birla-navya-sector-63a-gurgaon-npxid-r351013
27,Signature Global City,"{'Dwarka Expressway': '3.6 Km', 'Pataudi Road': '6 Km', 'Genesis Hospital Sector 84': '7.1 Km', 'DPGITM Engineering College Sector 34': '8.4 Km', 'Sapphire 83 Mall Sector 83': '8.6 Km', 'Holiday Inn Hotel Sector 90': '8.7 Km', 'SkyJumper Trampoline Park Gurgaon': '10.2 Km', 'National Tennis Academy Sector 98': '11.7 Km', 'NH-8 Delhi Jaipur Highway': '14.9 Km', 'Indira Gandhi International Airport': '26.6 Km'}",https://www.99acres.com/signature-global-city-sector-37d-gurgaon-npxid-r378934
28,Godrej 101,"{'Naurangpur Road': '2.6 KM', 'NH 48': '3.1 KM', 'Miracles Apollo Cradle': '4.3 KM', 'Vatika Town Square-INXT': '4.4 KM', 'Nouveau Medics Multispeciality OPD': '4.5 KM', 'Nakhrola Stadium': '4.6 KM', 'Heritage Village Resort & Spa': '6.3 KM', 'Euro International School': '7.4 KM', 'Gurugram University': '16.5 KM', 'Indira Gandhi Intl Airport': '30.1 KM'}",https://www.99acres.com/godrej-101-sector-79-gurgaon-npxid-r213249
29,M3M Soulitude,"{'Sector 86 Road': '950 Meter', 'Genesis Hospital': '1.5 KM', 'Dwarka Expy': '2.5 KM', 'Euro International School': '2.6 KM', 'Vatika Town Square-INXT': '4.1 KM', 'Garhi Harsaru Junction': '4.6 KM', 'Delh-Ajmer Expy': '5.8 KM', 'Gurugram University': '15.7 KM', 'Indira Gandhi Intl Airport': '28 KM'}",https://www.99acres.com/m3m-soulitude-sector-89-gurgaon-npxid-r378131
30,BPTP Terra,"{'Euro International School': '0.53 Km', 'Dwarka Expressway': '1.4 Km', 'DPG Institute of Technology': '6.7 Km', 'SkyJumper Trampoline Park': '9.5 Km', 'Medanta -The Medicity': '10 Km', 'Holiday Inn Sector 90': '10.3 Km', 'DLF Corporate Greens': '9.6 Km', 'Golf Course Extension Road': '13.2 Km', 'Airia Mall': '15.8 Km', 'Indira Gandhi International Airport': '24.3 Km', 'Amma Hospital': '1 Km'}",https://www.99acres.com/bptp-terra-sector-37d-gurgaon-npxid-r5360
31,M3M Skycity,"{'DPS International Edge': '1.4 Km', 'Eros City Square': '1.8 Km', 'Splendor Trade Tower': '2.5 Km', 'Narayana Junior College': '3.1 Km', 'CK Birla Hospital': '4 Km', 'DoubleTree by Hilton Hotel': '6 Km', 'Sector 55 Metro Station': '6.1 Km', 'SkyJumper Trampoline Park': '9 Km', 'Indira Gandhi Intl Airport': '22.9 Km'}",https://www.99acres.com/m3m-skycity-sector-65-gurgaon-npxid-r326899
32,MRG The Crown,"{'Dharampur Main Road': '550 Meter', 'Euro International School, Sector- 109': '2.3 KM', 'Dwarka Expy': '3.5 KM', ""Rion's Hospital"": '4.9 KM', 'Nehru Stadium': '8.1 KM', 'The NorthCap University': '9.1 KM', 'Hamoni Golf Camp': '10.3 KM', 'Dwarka Sector 21 Metro Station': '11.3 KM', ""Oyster's Water Park"": '12.5 KM', 'Vivanta Dwarka New Delhi': '12.7 KM', 'Gurgaon Railway Station': '4 KM', 'DLF Corporate Park': '15.7 KM', 'Indira Gandhi Intl Airport': '19.5 KM'}",https://www.99acres.com/mrg-the-crown-sector-106-gurgaon-npxid-r405486
33,Godrej Nature Plus Serenity,"{'GD Goenka World School': '1.8km', 'KR Mangalam University': '1Km', 'Smart View Hotel and Resort': '3.4Km', 'Central Park Flower Valley': '1Km', 'Sohna Road': '200m', 'Shopping complex': '5Km'}",https://www.99acres.com/godrej-nature-plus-serenity-sector-33-sohna-gurgaon-npxid-r379974
34,SS The Leaf,"{'Delhi Public School Sector 84': '0.65 Km', 'Genesis Hospital Sector 84': '0.7 Km', 'Sapphire 83 Mall': '2.6 Km', 'Holiday Inn Hotel Sector 90': '3 Km', 'Dwarka Expressway': '3.8 Km', 'Central Peripheral Road': '3.9 Km', 'Nakhrola Stadium Sector 81A': '5.3 Km', 'NH 08': '8.1 Km', 'Imt Manesar': '8.1 Km', 'Pataudi Road': '9.2 Km', 'DPG Institute of Technology': '11.6 Km', 'SkyJumper Trampoline Park': '13.4 Km', 'Indira Gandhi International Airport': '29.9 Km'}",https://www.99acres.com/ss-the-leaf-sector-85-gurgaon-npxid-r5098
35,Eldeco Acclaim,"{'G D Goenka University': '1 Km', 'Fly India Adventure Resort': '1.2 Km', 'GD Goenka World School': '1.7 Km', 'Vardaan Hospital': '1.7 Km', 'IMT Office Sohna': '8 Km', 'Sohna Road': '10 Km', 'Airia Mall': '18.4 Km'}",https://www.99acres.com/eldeco-acclaim-sohna-gurgaon-npxid-r369999
36,Emaar Gurgaon Greens,"{'JMS Marine Square Mall': '1.5 Km', 'Vibrant Hospital': '1.6 Km', 'Prime Scholars Int. School': '2.5 Km', 'Ramgarh Farms & Resort': '5.8 Km', 'Dwarka Expressway': '6.1 Km', 'DPG Institute of Technology': '8.7 Km', 'Basai Road': '6.1 Km', 'SkyJumper Trampoline Park': '10.5 Km', 'IMT Manesar': '16 Km', 'Indira Gandhi International Airport': '25.7 Km'}",https://www.99acres.com/emaar-gurgaon-greens-sector-102-gurgaon-npxid-r2066
37,Oxirich Chintamanis,"{'Dwarka Expressway': '700 Meter', 'Gurgaon Railway Station': '2.5 KM', 'Shree Krishna Hospital': '4.5 KM', 'Bajghera Road': '5.3 KM', 'The Esplanade Mall': '5.5 KM', 'GEMS International School': '5.7 KM', 'The NorthCap University': '8.8 KM', 'Huda Metro Station': '11 KM', 'Indira Gandhi Intl Airport': '20.8 KM'}",https://www.99acres.com/oxirich-chintamanis-sector-103-gurgaon-npxid-r405511
38,DLF Garden City Floors,"{'Pranavananda International School': '2 Km', 'Greenway Hospital': '3 Km', 'Holiday Inn Gurugram Sector 90': '3.1 Km', 'National Tennis Academy': '5 Km', 'IMT Manesar': '6.1 Km', 'Dwarka Expressway': '6.6 Km', 'NH-8': '7.7 Km', 'Sapphire 83 Mall': '7.7 Km', 'DPG Institute of Technology': '14.7 Km', 'Indira Gandhi International Airport': '32.4 Km'}",https://www.99acres.com/dlf-garden-city-floors-sector-92-gurgaon-npxid-r376177
39,Anant Raj Estates,"{'Paras Trinity Mall': '2.2 KM', 'Rajesh Pilot Road': '2.8 KM', 'Sector 55-56 Metro Station': '3.6 KM', 'Golf Course Ext Road': '3.8 KM', 'Scottish High International School': '4.8 KM', 'Park Hospital': '8.5 KM', 'KIIT College of Engineering': '9 KM', 'Badshahpur Sohna Rd Hwy': '11.1 KM', 'Gurgaon Railway Station': '17.8 KM', 'Indira Gandhi Intl Airport': '21 KM'}",https://www.99acres.com/anant-raj-estates-sector-63a-gurgaon-npxid-r2862
40,Tulip Yellow,"{'The Vivekananda School': '250 Meter', 'Southern Peripheral Road': '1.3 KM', 'De Adventure Park': '3.7 KM', 'Airia Mall': '3.9 KM', 'Badshahpur Sohna Rd Hwy': '5 KM', 'DLF Corporate Greens': '5.4 KM', 'Holiday Inn Express Gurugram Sector 50': '6.2 KM', 'Gurugram University': '6.8 KM', 'Tau DeviLal Sports Complex': '8.6 KM', 'Sector 55-56 Metro Station': '9.2 KM', 'Aryan Hospital': '10.7 KM', 'Gurgaon Railway Station': '13 KM', 'Indira Gandhi Intl Airport': '24.1 KM'}",https://www.99acres.com/tulip-yellow-sector-69-gurgaon-npxid-r344503
41,BPTP Amstoria,"{'Dwarka Expressway': '1.3Km', 'Early Basket Grocery shop': '2Km', 'Aradhya Cricket Club Gurgaon': '2.7Km', 'Imperial Heritage School': '2.9Km', 'Daultabad Village Park': '3.6Km', 'Skylark Cricket Academy': '3.8Km', 'Yashroop Hospital': '4.7Km', 'Gurgaon Old Railway Station': '7.8Km', ""Domino's Pizza"": '8Km', 'Conscient One Mall': '8.6Km', 'IGI Airport': '24.8Km'}",https://www.99acres.com/bptp-amstoria-sector-102-gurgaon-npxid-r26134
42,Emaar Emerald Hills,"{'Emerald Plaza Shopping Mall': '1 Km', 'Southern Peripheral Road': '2 Km', 'Pawlywoof - Dog Park': '2.7 Km', 'SCC Drive-In Cinema': '3.9 Km', 'The Shriram Millennium School': '4 Km', 'W Pratiksha Hospital': '4.6 Km', 'SkyJumper Trampoline Park Gurgaon': '5.9 Km', 'Lemon Tree Hotel, Sohna Road': '6.5 Km', 'KIIT College of Engineering': '8 Km', 'Indira Gandhi International Airport': '22.8 Km'}",https://www.99acres.com/emaar-emerald-hills-sector-65-gurgaon-npxid-r32692
43,M3M Golfestate,"{'Shiksha Bharti Public School': '2.3 Km', 'Holiday Inn Express Gurugram': '2.7 Km', 'Park Hospital': '2.9 Km', 'Gurugram University': '4.1 Km', 'NH 248A': '5.2 Km', 'Sector 54 Chowk Metro Station': '7.5 Km', 'Sahara Mall': '14.1 Km', 'Garhi Harsaru Junction': '18.9 Km', 'Indira Gandhi International Airport': '24.2 Km'}",https://www.99acres.com/m3m-golfestate-sector-65-gurgaon-npxid-r1030
44,ATS Triumph,"{'Dhanwapur Road': '1.9 Km', 'Dwarka Expressway': '2.9 Km', 'Govt. PG College': '3 Km', 'Shree Krishna Hospital': '3.4 Km', 'Delhi Public School': '3.5 Km', 'Basai Dhankot': '4.3 Km', 'The Esplanade Mall': '4.8 Km', 'Park Inn': '6.9 Km', 'The NorthCap University': '9.8 Km', ""Oyster's Water Park"": '12 Km', 'IFFCO Chowk Metro Station': '12.2 Km', 'DLF Golf and Country Club': '15.5 Km', 'The Executive Centre': '16.4 Km', 'Indira Gandhi International Airport': '22.1 Km'}",https://www.99acres.com/ats-triumph-sector-104-gurgaon-npxid-r25860
45,ATS Marigold,"{'Dwarka Expy, Sector 88': '1.5 KM', 'Genesis Hospital': '4 KM', 'Euro Int School, Sector 37D, Gurugram': '5.1 KM', 'Reliance Trends Newtown Square Mall': '5.9 KM', 'SGT University': '9 KM', 'Indira Gandhi Intl Airport': '30.2 KM'}",https://www.99acres.com/ats-marigold-sector-89-a-gurgaon-npxid-r10548
46,Signature Global City 37D Ph 2,"{'Medanta-The Medicity': '9 KM', 'Park Hospital': '800 M', 'SGT Hospital 1': '1 KM', 'Dwarka Expressway': '2 KM', 'Pataudi Road': '1 KM', 'Euro International School': '800 M', 'Suncity School': '800 M', 'Green Field School': '1 KM', 'Narayana E Techno': '1 KM', 'Alpine Convent School': '1.5 KM', 'Little E Step –Pre School': '1 KM', 'Sheetla Mata Mandir': '11 KM'}",https://www.99acres.com/signature-global-city-37d-ph-2-sector-37d-gurgaon-npxid-r396484
47,DLF Alameda,"{'Captain Chandan Lal Marg': '2 KM', 'CD International School': '2.4 KM', 'Badshahpur Sohna Rd Hwy': '4.7 KM', 'Park Hospital': '5.2 KM', 'Raheja Mall': '5.8 KM', 'Sushant University': '12.4 KM', 'Basai Dhankot Railway Station': '13.3 KM', 'Indira Gandhi Intl Airport': '23.6 KM'}",https://www.99acres.com/dlf-alameda-sector-73-gurgaon-npxid-r1229
48,Experion Windchants,"{'First Step Play School': '0.16 Km', 'Jai Sai Ram Hospital': '0.6 Km', 'Sri Ma Montessori International': '1.4 Km', 'Dwaraka Expressway': '1.2 Km', 'Gurgaon Railway Station': '5.2 Km', 'Ansal Plaza': '5.3 Km', 'IGI Airport': '16.4 Km', 'Park Hospital': '3.7 km'}",https://www.99acres.com/experion-windchants-sector-112-gurgaon-npxid-r4342
49,Saan Verdante,"{'Proposed Metro Station': '10min', 'Dwarka Expressway': '5 min', 'NH-8': '7 min', 'Delhi International Airport': '30 min', 'KMP Corridor': '10min'}",https://www.99acres.com/saan-verdante-sector-95-gurgaon-npxid-r146207
50,4S Aradhya Homes,"{'Airia Mall': '4.6 Km', 'Sohna Road': '5.2 Km', 'De Adventure Park': '5.3 Km', 'Vega Schools Sector 48': '5.4 Km', 'Lemon Tree Hotel, Sohna Road': '5.8 Km', 'Southern Peripheral Road': '6.2 Km', 'KIIT College of Engineering': '6.3 Km', 'Golf Course Ext Road': '6.6 Km', 'Cloudnine Hospital Sector 47': '7.9 Km', 'PVR Drive In Theatre': '8.1 Km', 'Indira Gandhi International Airport': '27.5 Km'}",https://www.99acres.com/4s-aradhya-homes-sector-67a-gurgaon-npxid-r374154
51,Yash Vihar,"{'City Hospital': '2.6 Km', 'NH 352W, Pataudi': '2.4 KM', 'Pathfinder Global School, Pataudi': '3.2 KM', 'Vistar Complex': '3.4 KM', 'BML Munjal University (BMU)': '14.5 KM', 'Indira Gandhi Intl Airport': '54.5 KM'}",https://www.99acres.com/yash-vihar-pataudi-gurgaon-npxid-r371696
52,Smart World Orchard,"{'Golf Course Ext Road': '1.1 KM', 'Sector 55-56 Metro station': '1.9 KM', 'Bestech Central Square Mall': '2.5 KM', 'ORCHIDS The International School': '3.1 Km', 'Sushant University': '3.5 KM', 'Marengo Asia Hospitals': '8.8 KM', 'Badshahpur Sohna Rd Hwy': '12.5 KM', 'Gurgaon Railway Station': '16 KM', 'Indira Gandhi Intl Airport': '19.3 KM'}",https://www.99acres.com/smart-world-orchard-sector-61-gurgaon-npxid-r376088
